X1.1,X1.2,X1.3,X1.4,X1.5,X1.6,X21.1,X21.2,X21.3,X21.4,X21.5,X21.6,X21.7,X21.8,X21.9,X21.10,X21.11,X21.12,X22.1,X22.2,X22.3,X22.4,X22.5,X22.6,X22.7,X22.8,X22.9,X22.10,X22.11,X22.12,X23.1,X23.2,X23.3,X23.4,X23.5,X23.6,X23.7,Y1.1,Y1.2,Y1.3,Y1.4,Y1.5,Y1.6,Y1.7,Y1.8,Y1.9,Y2.1,Y2.2,Y2.3,Y2.4,Y2.5,Y2.6,Y2.7,Y2.8,Y2.9,Y2.10,Y3.1,Y3.2,Y3.3,Y3.4,Y3.5,Y3.6,Y3.7,Y3.8,Y3.9,Y3.10
3,1,1,2,7,2,1,1,1,3,2,2,2,3,2,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,3,1,3,4,3,3,3,3,3,2,1,1,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,4,1,2,4,4
3,1,1,3,1,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,1,1,1,1,1,1,4,4,4,4,1,4,4,4,4,4,4,4,1,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,1,2,2,7,1,4,2,3,4,3,3,3,2,3,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,1,4,4,4,4,4,4,4,1,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,1,1,3,3,3,1,1,1,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,2,3,3,4,4,4,4,1,2,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1
3,1,2,2,3,3,4,2,2,3,3,3,2,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,1,3,3,3,3,4,3,3,1,3,2,2,3,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4,1,3,4,3
3,1,1,2,1,3,4,3,3,3,3,3,2,2,4,2,1,2,2,2,2,1,2,2,2,1,1,1,2,2,4,3,2,2,1,3,3,3,2,4,3,3,2,4,3,4,1,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3
1,1,2,2,1,1,1,1,1,4,4,4,1,1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,1,1,2,7,2,4,2,3,4,4,4,4,4,4,3,4,3,3,1,1,1,2,2,2,2,1,1,1,3,4,4,4,3,1,4,4,4,4,4,4,4,1,3,2,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
3,1,1,2,7,3,1,1,3,3,3,2,2,1,2,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,3,2,3,3,3,3,3,3,3,2,2,2,2,2,3,3,4,4,3,3,3,3,3,3,3,4,4,4,3,2,3,3,3
3,1,1,2,0,2,2,1,2,3,2,3,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,4,4,2,3,2,3,3,3,3,3,3,4,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4
